problem,variables,manhat_dist,opt_Z,pred_Z,abs_err,rel_err,fn_calls
convex1_10_1,10,0,0,0,0,-,20
convex1_10_2,10,0,0,0,0,-,20
convex1_10_3,10,0,0,0,0,-,20
convex1_10_4,10,0,0,0,0,-,20
convex1_10_5,10,0,0,0,0,-,20
convex1_100_1,100,0,0,0,0,-,30
convex1_100_2,100,0,0,0,0,-,30
convex1_100_3,100,0,0,0,0,-,30
convex1_100_4,100,0,0,0,0,-,30
convex1_100_5,100,0,0,0,0,-,30
convex1_15_1,15,0,0,0,0,-,25
convex1_15_2,15,0,0,0,0,-,25
convex1_15_3,15,0,0,0,0,-,25
convex1_15_4,15,0,0,0,0,-,25
convex1_15_5,15,0,0,0,0,-,25
convex1_20_1,20,0,0,0,0,-,25
convex1_20_2,20,0,0,0,0,-,25
convex1_20_3,20,0,0,0,0,-,25
convex1_20_4,20,0,0,0,0,-,25
convex1_20_5,20,0,0,0,0,-,25
convex1_200_1,200,0,0,0,0,-,40
convex1_200_2,200,0,0,0,0,-,40
convex1_200_3,200,0,0,0,0,-,40
convex1_200_4,200,0,0,0,0,-,40
convex1_200_5,200,0,0,0,0,-,40
convex1_25_1,25,0,0,0,0,-,25
convex1_25_2,25,0,0,0,0,-,25
convex1_25_3,25,0,0,0,0,-,25
convex1_25_4,25,0,0,0,0,-,25
convex1_25_5,25,0,0,0,0,-,25
convex1_30_1,30,0,0,0,0,-,25
convex1_30_2,30,0,0,0,0,-,25
convex1_30_3,30,0,0,0,0,-,25
convex1_30_4,30,0,0,0,0,-,25
convex1_30_5,30,0,0,0,0,-,25
convex1_35_1,35,0,0,0,0,-,30
convex1_35_2,35,0,0,0,0,-,30
convex1_35_3,35,0,0,0,0,-,30
convex1_35_4,35,0,0,0,0,-,30
convex1_35_5,35,0,0,0,0,-,30
convex1_40_1,40,0,0,0,0,-,30
convex1_40_2,40,0,0,0,0,-,30
convex1_40_3,40,0,0,0,0,-,30
convex1_40_4,40,0,0,0,0,-,30
convex1_40_5,40,0,0,0,0,-,30
convex1_45_1,45,0,0,0,0,-,30
convex1_45_2,45,0,0,0,0,-,30
convex1_45_3,45,0,0,0,0,-,30
convex1_45_4,45,0,0,0,0,-,30
convex1_45_5,45,0,0,0,0,-,30
convex1_5_1,5,0,0,0,0,-,20
convex1_5_2,5,0,0,0,0,-,20
convex1_5_3,5,0,0,0,0,-,20
convex1_5_4,5,0,0,0,0,-,20
convex1_5_5,5,0,0,0,0,-,20
convex1_50_1,50,0,0,0,0,-,30
convex1_50_2,50,0,0,0,0,-,30
convex1_50_3,50,0,0,0,0,-,30
convex1_50_4,50,0,0,0,0,-,30
convex1_50_5,50,0,0,0,0,-,30
convex2_10_1,10,1.19E-05,2.84,13.03220258,10.19220258,3.588803725,986
convex2_10_2,10,1.38E-05,3.44,20.30757499,16.86757499,4.903364824,281
convex2_10_3,10,1.07E-05,3.36,29.78311349,26.42311349,7.864021872,344
convex2_10_4,10,2.13E-05,5.41,17.62605011,12.21605011,2.258049927,1401
convex2_10_5,10,1.39E-05,4.24,103.1944935,98.95449353,23.33832395,2500
convex2_100_1,100,0,36.2,3228.424283,3192.224283,88.18299124,30
convex2_100_2,100,0,28.8,2102.805158,2074.005158,72.01406799,30
convex2_100_3,100,0,36.2,2855.797717,2819.597717,77.88943969,30
convex2_100_4,100,0,30.1,2349.994337,2319.894337,77.07290156,30
convex2_100_5,100,0,32.9,4649.017658,4616.117658,140.3075276,30
convex2_15_1,15,1.22E-05,4.29,36.96239015,32.67239015,7.61594176,2500
convex2_15_2,15,1.81E-05,6.26,52.24780729,45.98780729,7.346295094,2500
convex2_15_3,15,1.20E-05,3.94,73.67599464,69.73599464,17.69949102,2500
convex2_15_4,15,1.67E-05,6.01,75.52920265,69.51920265,11.56725502,2500
convex2_15_5,15,1.41E-05,4.85,145.2363472,140.3863472,28.9456386,2500
convex2_20_1,20,1.64E-05,7.03,95.90759642,88.87759642,12.64261684,2500
convex2_20_2,20,1.52E-05,6.46,214.3214597,207.8614597,32.17669655,2500
convex2_20_3,20,1.43E-05,6.34,141.9447879,135.6047879,21.3887678,2500
convex2_20_4,20,1.44E-05,6.37,77.01334333,70.64334333,11.0900068,2500
convex2_20_5,20,1.70E-05,7.48,77.41071118,69.93071118,9.349025559,2500
convex2_200_1,200,0,67.9,9110.561749,9042.661749,133.1761671,45
convex2_200_2,200,0,71.3,14268.99746,14197.69746,199.1261915,45
convex2_200_3,200,0,68.7,8709.871572,8641.171572,125.7812456,45
convex2_200_4,200,0,67.3,9106.273326,9038.973326,134.3086676,45
convex2_200_5,200,0,68.4,10107.18446,10038.78446,146.7658547,45
convex2_25_1,25,1.85E-05,9.98,519.883226,509.903226,51.09250761,2500
convex2_25_2,25,1.80E-05,9.36,199.9490302,190.5890302,20.36207588,2500
convex2_25_3,25,1.56E-05,8.33,162.2784445,153.9484445,18.48120582,2500
convex2_25_4,25,1.63E-05,8.66,82.10652806,73.44652806,8.481123333,2500
convex2_25_5,25,1.23E-05,6.63,121.1117855,114.4817855,17.26723763,2500
convex2_30_1,30,0,9.84,164.9721745,155.1321745,15.76546489,25
convex2_30_2,30,0,11.6,326.4250678,314.8250678,27.14009205,25
convex2_30_3,30,0,11.5,232.5062956,221.0062956,19.21793875,25
convex2_30_4,30,0,10.6,293.3522051,282.7522051,26.67473633,25
convex2_30_5,30,0,11.8,273.4961183,261.6961183,22.17763714,25
convex2_35_1,35,1.57E-05,12.1,255.8418875,243.7418875,20.14395764,2500
convex2_35_2,35,1.43E-05,11.1,268.4528504,257.3528504,23.18494148,2500
convex2_35_3,35,1.74E-05,13.1,665.9766513,652.8766513,49.83791231,2500
convex2_35_4,35,2.02E-05,15.2,230.9325166,215.7325166,14.19292872,2500
convex2_35_5,35,2.10E-05,15.4,442.0135287,426.6135287,27.70217719,2500
convex2_40_1,40,1.40E-05,12,210.8079337,198.8079337,16.56732781,2500
convex2_40_2,40,1.44E-05,12.4,257.1564986,244.7564986,19.7384273,2500
convex2_40_3,40,1.33E-05,11.3,1050.101779,1038.801779,91.92936096,2500
convex2_40_4,40,1.49E-05,12.6,564.3431534,551.7431534,43.78913916,2500
convex2_40_5,40,1.42E-05,12.5,282.9740852,270.4740852,21.63792682,2500
convex2_45_1,45,1.49E-05,14.4,300.6717042,286.2717042,19.87997946,2500
convex2_45_2,45,1.37E-05,13.5,670.9789948,657.4789948,48.70214777,2500
convex2_45_3,45,1.80E-05,17.2,656.1864977,638.9864977,37.15037777,2500
convex2_45_4,45,1.41E-05,14.2,644.2180274,630.0180274,44.36746672,2500
convex2_45_5,45,1.68E-05,15.8,784.2497488,768.4497488,48.63606005,2500
convex2_5_1,5,1.69E-05,2.35,6.233053565,3.883053565,1.652363219,30
convex2_5_2,5,2.95E-06,0.853,90.18164382,89.32864382,104.7229119,2500
convex2_5_3,5,2.89E-08,1.15,1.149167596,-0.000832404,0.00072383,20
convex2_5_4,5,2.91E-06,1.58,2.179183015,0.599183015,0.379229757,20
convex2_5_5,5,6.48E-06,1.84,2.775086626,0.935086626,0.508199253,20
convex2_50_1,50,1.77E-05,18.5,720.6138192,702.1138192,37.95209833,2500
convex2_50_2,50,1.54E-05,16.6,700.1950988,683.5950988,41.18042764,2500
