problem,variables,manhat_dist,opt_Z,pred_Z,abs_err,rel_err,fn_calls
problem2_2,2,0,0,0,0,-,20
problem2_3,2,0,0,0,0,-,20
problem2_7,3,0.016147091,0.0042,0.0305369,0.0263369,6.270690476,2500
problem2_8,3,5.88E-05,0.0511,2.09924,2.04814,40.08101761,1362
problem2_9,4,5.17E-06,0.00808,0.1957,0.18762,23.22029703,20
problem2_13,4,0.127812575,1.20E-07,1,0.99999988,-,2500
problem2_14,5,2.28E-05,0.000122,-0.367879,-0.368001,-,20
problem2_15,5,0.050843413,0.0223,0.75178,0.72948,32.71210762,2500
problem2_16,6,0.011621228,0.052,1.30165,1.24965,24.03173077,2500
problem2_17,6,0.001159523,0.197,0.998513,0.801513,4.068593909,2500
problem2_18,9,1.68E-05,0.00619,1,0.99381,160.5508885,679
problem3_2,2,1.01E-06,0,0,0,-,20
problem3_10,2,2.50E-05,-8,0,8,1,2500
problem3_13,5,3.37E-05,-32.3,250,282.3,8.73993808,2500
problem3_16,10,4.37E-06,-0.841,0,0.841,1,20
problem3_18,12,9.32E-05,16.7,50.3273,33.6273,2.013610778,2500
problem3_25,15,0.000145762,32.3,10800,10767.7,333.3653251,2500
