problem,variables,manhat_dist,opt_Z,pred_Z,abs_err,rel_err,fn_calls
bqp1var,1,0.5,0,0,0,-,20
ex4_1_1,1,0.000288385,-7.49,-7.486735075,0.003264925,0.000435905,20
ex4_1_2,1,0.002584,-664,-663.0306411,0.969358941,0.001459878,20
ex4_1_3,1,0.0075612,-444,-443.0176277,0.982372253,0.00221255,20
ex4_1_4,1,0.1999893,0,0,0,-,20
ex4_1_6,1,0.599488512,7,7,4.83169E-13,6.90242E-14,115
ex4_1_7,1,0.00145339,-7.5,-7.497059337,0.002940663,0.000392088,20
ex8_1_2,1,0.009606441,-1.07,-6.606052165,-5.536052165,5.173880528,20
median,1,2.50E-05,4.94,9.335390087,4.395390087,0.889755078,20
beale,2,3.32E-05,0,0.65625,0.65625,-,20
box2,2,0.016878395,0,0.848627949,0.848627949,-,22
branin,2,0.21612183,0.398,0.398331568,0.000331568,0.000833085,27
brownbs,2,2.43E-05,0,946081.9215,946081.9215,-,44
camel1,2,0.079617875,-1.03,-1.031558089,-0.001558089,0.001512708,31
camel6,2,0.004033333,-1.03,-1.028263542,0.001736458,0.001685881,27
chi,2,0.000212073,-43.3,-43.31432014,-0.014320138,0.000330719,49
cliff,2,0.249649006,0.2,0.200779022,0.000779022,0.00389511,26
cube,2,4.94E-05,0,1,1,-,20
denschna,2,0,0,0,0,-,20
denschnb,2,2.50E-05,0,1,1,-,20
denschnc,2,0.001188583,0,0.954683477,0.954683477,-,37
denschnf,2,6.93E-05,0,64,64,-,20
djtl,2,0.000344874,-8950,25802686205,25802695155,2882982.699,2500
esfl,2,2.43E-05,191,374.049489,183.049489,0.958374288,20
ex4_1_5,2,3.79E-05,0,0.252361381,0.252361381,-,25
ex8_1_1,2,0.276378725,-2.02,4.67E+12,4.67E+12,2.31E+12,2500
ex8_1_2,1,0.009606441,-1.07,-6.606052165,-5.536052165,5.173880528,20
ex8_1_3,2,2.50E-05,3,600,597,199,20
ex8_1_4,2,4.56E-09,0,0,0,-,20
ex8_1_5,2,2.01E-05,-1.03,0,1.03,1,20
ex8_1_6,2,0.000199998,-10.1,4.63E+25,4.63E+25,4.59E+24,2500
expfit,2,0.115256949,0.241,23.99999517,23.75899517,98.58504221,2500
gold,2,1.35E-06,3,3,0,0,20
griewank,2,0,0,0,0,-,20
hairy,2,0,20,20,0,0,20
himmelbb,2,0,0,0,0,-,20
himmelbg,2,0,0,0,0,-,20
himmelp1,2,0.19529891,-62.1,0,62.1,1,2500
hs001,2,7.47E-05,0,0.536180186,0.536180186,-,1096
hs002,2,5.00E-05,3.34E-26,1,1,-,2500
hs003,2,0.25,0,0,0,-,20
hs004,2,0.25,2.67,2.666666667,-0.003333333,0.001248439,21
hs005,2,0.004457049,-1.91,-1.91110137,-0.00110137,0.000576634,27
hs3mod,2,0.25,0,0,0,-,20
hs5,2,0.004457049,-1.91,-1.91110137,-0.00110137,0.000576634,27
humps,2,0,0,0,0,-,20
jensmp,2,0.008594213,124,259.6783209,135.6783209,1.094180008,2500
levy3,2,0.077584906,-210,-203.2937128,6.706287238,0.031934701,2500
loghairy,2,0,0.182,0.182321557,0.000321557,0.001766796,20
logros,2,0.499900092,0,0.693147181,0.693147181,-,20
maratosb,2,2.50E-05,-1,0.999337019,1.999337019,1.999337019,677
mdhole,2,2.47E-05,0,-11581.38923,-11581.38923,-,449
median_vareps,2,1.38E-05,4.63,4.630546352,0.000546352,0.000118003,949
mexhat,2,5.71E-05,-0.0401,9602,9602.0401,239452.3716,20
nasty,2,0,0,0,0,-,20
price,2,0,0,0,0,-,20
rbrock,2,0.045503785,0,0.47265625,0.47265625,-,21
rosenbr,2,5.00E-05,0,1,1,-,20
s201,2,1.65E-12,0,1.30E-14,1.30E-14,-,21
s202,2,0.000225014,2.52E-24,100.6195124,100.6195124,-,2500
s204,2,0,0.184,0.183601202,-0.000398798,0.002167383,20
s205,2,3.32E-05,0,0.65625,0.65625,-,20
s206,2,4.99E-05,0,0.128099266,0.128099266,-,491
s207,2,5.00E-05,0,0.000346386,0.000346386,-,2245
s208,2,5.00E-05,0,1,1,-,20
s209,2,5.23E-05,5.49E-24,1,1,-,20
s210,2,5.07E-05,3.21E-26,1,1,-,20
s211,2,4.94E-05,1.70E-27,0.936942403,0.936942403,-,1071
s212,2,0,0,0,0,-,20
s213,2,3.73E-05,0,1,1,-,20
s214,2,5.00E-05,0,1,1,-,20
s229,2,0.247805687,0,1,1,-,20
s274,2,0,0,0,0,-,20
s290,2,0,0,0,0,-,20
s308,2,2.11E-05,0.773,1,0.227,0.293661061,20
s309,2,8.71E-05,-3.99,24.37,28.36,7.107769424,21
s311,2,4.03E-05,0,45.45110996,45.45110996,-,87
s328,2,0.0714505,1.74,39894638.97,39894637.23,22927952.43,2500
s386,2,1.59E-11,0,6.61E-13,6.61E-13,-,21
sim2bqp,2,0.25,0,0.375,0.375,-,20
simbqp,2,0.25,0,0,0,-,20
sineval,2,0,0,0,0,-,20
sisser,2,0,0,0,0,-,20
st_e39,2,0.000199998,-10.1,5.04E+13,5.04E+13,4.99E+12,2500
tre,2,0,0,0,0,-,20
zangwil2,2,3.13E-05,-18.2,-17.20000021,0.999999788,0.054945043,21
s333,3,0.002062566,0.0433,0.399844311,0.356544311,8.234279689,2500
st_cqpjk2,3,1.68E-08,-12.5,-12.5,3.55E-15,2.84E-16,20
yfit,3,0.118663294,0,732.5716841,732.5716841,-,2500
yfitu,3,0.002334013,0,1421.575735,1421.575735,-,2500
s240,3,0,0,0,0,-,20
s242,3,0.051291081,0,0.55018107,0.55018107,-,21
s243,3,7.62E-07,0.606,0.796555232,0.190555232,0.314447577,20
s244,3,0.032770633,0,0.146561936,0.146561936,-,20
s245,3,0.333333333,0,0,0,-,20
s246,3,5.00E-05,0,2,2,-,20
growthls,3,0.00676395,1,599.9920403,598.9920403,598.9920403,2500
hatfldd,3,0.060860443,0,10.67076779,10.67076779,-,2500
growth,3,0.008752803,1,1837.961268,1836.961268,1836.961268,2500
engval2,3,1.72E-05,0,1237,1237,-,20
eg1,3,0.003199383,-1.43,-1.425636651,0.004363349,0.003051293,25
box3,3,0.333333333,0,0,0,-,20
allinit,3,6.37E-05,16.7,27.27957932,10.57957932,0.633507744,42
biggs3,3,0.183523393,0,0.720702001,0.720702001,-,28
fermat_vareps,3,5.18E-05,7.46,8.472135955,1.012135955,0.135675061,22
fermat2_vareps,3,4.74E-05,4.47,6.328316221,1.858316221,0.415730698,20
least,3,0.002956768,14100,22042.98452,7942.984525,0.563332236,2500
s275,4,0,0,0,0,-,20
s350,4,4.06E-06,0.000308,101406934.7,101406934.7,-,20
s351,4,0.023527234,319,101406934.7,101406615.7,317889.0774,2500
s352,4,0.000147013,903,1275.622631,372.6226309,0.412649647,122
shekel,4,0.09998935,-10.2,4642562966,4642562976,455153233,2500
palmer1,4,0.370160813,11800,4642562966,4642551166,393436.5395,2500
palmer5d,4,0.003264814,87.3,17525.421,17438.121,199.7493814,2500
palmer4,4,0.361553852,2290,3053924549,3053922259,1333590.506,2500
palmer3,4,0.109960702,2270,3053924549,3053922279,1345340.211,2500
s256,4,0,0,0,0,-,20
s257,4,7.50E-05,2.69E-27,42,42,-,20
s258,4,5.00E-05,0,42,42,-,20
s259,4,7.15E-05,-8.54,3792.09346,3800.63346,445.0390468,38
s260,4,5.00E-05,2.42E-23,42,42,-,20
s261,4,0.000216089,0,2,2,-,2500
allinitu,4,2.96E-05,5.74,13,7.26,1.264808362,20
brownden,4,0.000193907,85800,234195.0011,148395.0011,1.729545467,2500
hatflda,4,0.175266073,0,2.396443263,2.396443263,-,2500
