 FREQUENCY     FOURIER COEFFICIENTS


 (=N/NT)     REAL PART      IMAGINARY



    .000     8.03858948      .00000000
    .125     4.98758602     3.85212827
    .250     2.34802485     3.55754089
    .375     1.26265907     2.77770400
    .500      .77833438     2.17963552
    .625      .53035980     1.74677575
    .750      .38892925     1.42365873
    .875      .30161431     1.17234182
   1.000      .24450091      .96921837
   1.125      .20555672      .79939145
   1.250      .17824316      .65311658
   1.375      .15878880      .52375519
   1.500      .14491895      .40659273
   1.625      .13522220      .29813170
   1.750      .12881553      .19565141
   1.875      .12516284      .09692144
   2.000      .12397528      .00000000



    T         INPUT          ERROR


   .00       .50000000       .00E+00
   .25       .77880079       .00E+00
   .50       .60653067       .00E+00
   .75       .47236654     -2.98E-08
  1.00       .36787945       .00E+00
  1.25       .28650481     -5.96E-08
  1.50       .22313017     -2.98E-08
  1.75       .17377394     -2.98E-08
  2.00       .13533528     -1.49E-08
  2.25       .10539922     -2.24E-08
  2.50       .08208500     -2.98E-08
  2.75       .06392786     -4.47E-08
  3.00       .04978707     -2.24E-08
  3.25       .03877421     -1.49E-08
  3.50       .03019738     -2.42E-08
  3.75       .02351775     -3.73E-09
  4.00       .01831564     -2.61E-08
  4.25       .01426423     -8.38E-09
  4.50       .01110900     -1.86E-09
  4.75       .00865170      8.38E-09
  5.00       .00673795     -1.44E-08
  5.25       .00524752      1.49E-08
  5.50       .00408677     -3.12E-08
  5.75       .00318278      1.79E-08
  6.00       .00247875     -2.61E-08
  6.25       .00193045      1.36E-08
  6.50       .00150344      1.35E-08
  6.75       .00117088      3.88E-08
  7.00       .00091188      9.49E-09
  7.25       .00071017      2.99E-08
  7.50       .00055308      2.44E-08
  7.75       .00043074     -2.45E-08
