 FREQUENCY     FOURIER COEFFICIENTS


 (=N/NT)     REAL PART      IMAGINARY



    .000      .00000000     4.01929474
    .125    -1.92606437     2.49379277
    .250    -1.77877045     1.17401242
    .375    -1.38885212      .63132954
    .500    -1.08981776      .38916713
    .625     -.87338763      .26517984
    .750     -.71182930      .19446459
    .875     -.58617103      .15080714
   1.000     -.48460919      .12225044
   1.125     -.39969572      .10277843
   1.250     -.32655814      .08912160
   1.375     -.26187754      .07939439
   1.500     -.20329630      .07245950
   1.625     -.14906561      .06761104
   1.750     -.09782541      .06440771
   1.875     -.04846054      .06258154
   2.000      .00000000      .06198764
  -1.875      .04846060      .06258154
  -1.750      .09782553      .06440771
  -1.625      .14906573      .06761107
  -1.500      .20329636      .07245946
  -1.375      .26187748      .07939443
  -1.250      .32655814      .08912155
  -1.125      .39969584      .10277843
  -1.000      .48460919      .12225044
   -.875      .58617103      .15080714
   -.750      .71182930      .19446458
   -.625      .87338781      .26517999
   -.500     1.08981764      .38916719
   -.375     1.38885188      .63132966
   -.250     1.77877033     1.17401242
   -.125     1.92606401     2.49379277



    T       ERROR IN REAL PART    ERROR IN IMAGINARY PART


   .00         -5.59E-09               -5.96E-08
   .25         -4.66E-08               -5.96E-08
   .50         -3.35E-08                 .00E+00
   .75         -2.79E-08               -5.96E-08
  1.00          6.69E-09               -2.98E-08
  1.25          1.87E-08                 .00E+00
  1.50          8.52E-09               -4.47E-08
  1.75          1.16E-08               -4.47E-08
  2.00         -1.86E-09                 .00E+00
  2.25         -1.49E-08               -1.49E-08
  2.50         -9.31E-09               -2.98E-08
  2.75          2.24E-08               -7.45E-09
  3.00         -2.96E-09               -1.49E-08
  3.25          1.86E-08               -1.49E-08
  3.50          8.25E-09                3.73E-09
  3.75         -7.87E-09                1.12E-08
  4.00          1.86E-09               -4.10E-08
  4.25          1.68E-08               -8.38E-09
  4.50          7.45E-09               -1.86E-09
  4.75          2.05E-08                8.38E-09
  5.00          6.69E-09                4.66E-10
  5.25          3.76E-09                2.98E-08
  5.50          4.79E-09                2.10E-08
  5.75         -3.31E-09                1.79E-08
  6.00         -1.86E-09               -1.86E-08
  6.25          1.49E-08                3.60E-08
  6.50          2.05E-08               -1.63E-08
  6.75          7.45E-09                1.64E-08
  7.00         -2.96E-09                2.04E-09
  7.25         -1.12E-08                4.48E-08
  7.50         -6.65E-09                2.63E-08
  7.75         -2.28E-08                5.33E-09
