 X =     -.3819038868E+01
 C(1) =      .2454634420E+19
 C(2) =      .2035143077E+00


                   T              REAL Y              EST.Y               ERROR

     .1200000000E+02     .2342000008E+00     .2342000008E+00     .0000000000E+00
     .2000000000E+02     .2243999988E+00     .2035143077E+00     .2088569105E-01
     .2800000000E+02     .2204000056E+00     .2035143077E+00     .1688569784E-01
     .4800000000E+02     .2149000019E+00     .2035143077E+00     .1138569415E-01
     .1200000000E+03     .2063000053E+00     .2035143077E+00     .2785697579E-02
     .2400000000E+03     .1983000040E+00     .2035143077E+00     .5214303732E-02
     .9000000000E+03     .1842000037E+00     .2035143077E+00     .1931430399E-01
     .2400000000E+04     .1761000007E+00     .2035143077E+00     .2741430700E-01


SUM OF ERRORS SQUARED =      .2010508573E-02
