          TCHEBYCHEFF              TCHBP                   ORTHP
    0  1.00000000000000000E+00  1.00000000000000000E+00  1.00000000000000000E+00
    0  1.00000000000000000E+00  1.00000000000000000E+00  1.00000000000000000E+00
    0  1.00000000000000000E+00  1.00000000000000000E+00  1.00000000000000000E+00
    0  1.00000000000000000E+00  1.00000000000000000E+00  1.00000000000000000E+00
    0  1.00000000000000000E+00  1.00000000000000000E+00  1.00000000000000000E+00
    0  1.00000000000000000E+00  1.00000000000000000E+00  1.00000000000000000E+00
    0  1.00000000000000000E+00  1.00000000000000000E+00  1.00000000000000000E+00
    0  1.00000000000000000E+00  1.00000000000000000E+00  1.00000000000000000E+00
    0  1.00000000000000000E+00  1.00000000000000000E+00  1.00000000000000000E+00
    1 -1.00000000000000000E+00 -1.00000000000000000E+00 -1.00000000000000000E+00
    1 -7.50000000000000000E-01 -7.50000000000000000E-01 -7.50000000000000000E-01
    1 -5.00000000000000000E-01 -5.00000000000000000E-01 -5.00000000000000000E-01
    1 -2.50000000000000000E-01 -2.50000000000000000E-01 -2.50000000000000000E-01
    1   .00000000000000000E+00   .00000000000000000E+00   .00000000000000000E+00
    1  2.50000000000000000E-01  2.50000000000000000E-01  2.50000000000000000E-01
    1  5.00000000000000000E-01  5.00000000000000000E-01  5.00000000000000000E-01
    1  7.50000000000000000E-01  7.50000000000000000E-01  7.50000000000000000E-01
    1  1.00000000000000000E+00  1.00000000000000000E+00  1.00000000000000000E+00
    2  1.00000000000000000E+00  1.00000000000000000E+00  1.00000000000000000E+00
    2  1.25000000000000000E-01  1.25000000000000000E-01  1.25000000000000000E-01
    2 -5.00000000000000000E-01 -5.00000000000000000E-01 -5.00000000000000000E-01
    2 -8.75000000000000000E-01 -8.75000000000000000E-01 -8.75000000000000000E-01
    2 -1.00000000000000000E+00 -1.00000000000000000E+00 -1.00000000000000000E+00
    2 -8.75000000000000000E-01 -8.75000000000000000E-01 -8.75000000000000000E-01
    2 -5.00000000000000000E-01 -5.00000000000000000E-01 -5.00000000000000000E-01
    2  1.25000000000000000E-01  1.25000000000000000E-01  1.25000000000000000E-01
    2  1.00000000000000000E+00  1.00000000000000000E+00  1.00000000000000000E+00
    3 -1.00000000000000000E+00 -1.00000000000000000E+00 -1.00000000000000000E+00
    3  5.62500000000000000E-01  5.62500000000000000E-01  5.62500000000000000E-01
    3  1.00000000000000000E+00  1.00000000000000000E+00  1.00000000000000000E+00
    3  6.87500000000000000E-01  6.87500000000000000E-01  6.87500000000000000E-01
    3   .00000000000000000E+00   .00000000000000000E+00   .00000000000000000E+00
    3 -6.87500000000000000E-01 -6.87500000000000000E-01 -6.87500000000000000E-01
    3 -1.00000000000000000E+00 -1.00000000000000000E+00 -1.00000000000000000E+00
    3 -5.62500000000000000E-01 -5.62500000000000000E-01 -5.62500000000000000E-01
    3  1.00000000000000000E+00  1.00000000000000000E+00  1.00000000000000000E+00
    4  1.00000000000000000E+00  1.00000000000000000E+00  1.00000000000000000E+00
    4 -9.68750000000000000E-01 -9.68750000000000000E-01 -9.68750000000000000E-01
    4 -5.00000000000000000E-01 -5.00000000000000000E-01 -5.00000000000000000E-01
    4  5.31250000000000000E-01  5.31250000000000000E-01  5.31250000000000000E-01
    4  1.00000000000000000E+00  1.00000000000000000E+00  1.00000000000000000E+00
    4  5.31250000000000000E-01  5.31250000000000000E-01  5.31250000000000000E-01
    4 -5.00000000000000000E-01 -5.00000000000000000E-01 -5.00000000000000000E-01
    4 -9.68750000000000000E-01 -9.68750000000000000E-01 -9.68750000000000000E-01
    4  1.00000000000000000E+00  1.00000000000000000E+00  1.00000000000000000E+00
    5 -1.00000000000000000E+00 -1.00000000000000000E+00 -1.00000000000000000E+00
    5  8.90625000000000000E-01  8.90625000000000000E-01  8.90625000000000000E-01
    5 -5.00000000000000000E-01 -5.00000000000000000E-01 -5.00000000000000000E-01
    5 -9.53125000000000000E-01 -9.53125000000000000E-01 -9.53125000000000000E-01
    5   .00000000000000000E+00   .00000000000000000E+00   .00000000000000000E+00
    5  9.53125000000000000E-01  9.53125000000000000E-01  9.53125000000000000E-01
    5  5.00000000000000000E-01  5.00000000000000000E-01  5.00000000000000000E-01
    5 -8.90625000000000000E-01 -8.90625000000000000E-01 -8.90625000000000000E-01
    5  1.00000000000000000E+00  1.00000000000000000E+00  1.00000000000000000E+00
    6  1.00000000000000000E+00  1.00000000000000000E+00  1.00000000000000000E+00
    6 -3.67187500000000000E-01 -3.67187500000000000E-01 -3.67187500000000000E-01
    6  1.00000000000000000E+00  1.00000000000000000E+00  1.00000000000000000E+00
    6 -5.46875000000000000E-02 -5.46875000000000000E-02 -5.46875000000000000E-02
    6 -1.00000000000000000E+00 -1.00000000000000000E+00 -1.00000000000000000E+00
    6 -5.46875000000000000E-02 -5.46875000000000000E-02 -5.46875000000000000E-02
    6  1.00000000000000000E+00  1.00000000000000000E+00  1.00000000000000000E+00
    6 -3.67187500000000000E-01 -3.67187500000000000E-01 -3.67187500000000000E-01
    6  1.00000000000000000E+00  1.00000000000000000E+00  1.00000000000000000E+00
    7 -1.00000000000000000E+00 -1.00000000000000000E+00 -1.00000000000000000E+00
    7 -3.39843750000000000E-01 -3.39843750000000000E-01 -3.39843750000000000E-01
    7 -5.00000000000000000E-01 -5.00000000000000000E-01 -5.00000000000000000E-01
    7  9.80468750000000000E-01  9.80468750000000000E-01  9.80468750000000000E-01
    7   .00000000000000000E+00   .00000000000000000E+00   .00000000000000000E+00
    7 -9.80468750000000000E-01 -9.80468750000000000E-01 -9.80468750000000000E-01
    7  5.00000000000000000E-01  5.00000000000000000E-01  5.00000000000000000E-01
    7  3.39843750000000000E-01  3.39843750000000000E-01  3.39843750000000000E-01
    7  1.00000000000000000E+00  1.00000000000000000E+00  1.00000000000000000E+00
    8  1.00000000000000000E+00  1.00000000000000000E+00  1.00000000000000000E+00
    8  8.76953125000000000E-01  8.76953125000000000E-01  8.76953125000000000E-01
    8 -5.00000000000000000E-01 -5.00000000000000000E-01 -5.00000000000000000E-01
    8 -4.35546875000000000E-01 -4.35546875000000000E-01 -4.35546875000000000E-01
    8  1.00000000000000000E+00  1.00000000000000000E+00  1.00000000000000000E+00
    8 -4.35546875000000000E-01 -4.35546875000000000E-01 -4.35546875000000000E-01
    8 -5.00000000000000000E-01 -5.00000000000000000E-01 -5.00000000000000000E-01
