1          TEST OF QUAD ON KAHANER 21

          ATTEMPED ACCURACY   1.000E-03



            N      TRUE           CALC         ERROR       EST ERR    JCALL     KWARN


            1   1.7182818651   1.7182825804  -7.153E-07   6.539E-06    13         0
            2    .6999999881    .6999986172   1.371E-06   3.398E-06    65         0
            3    .6666666865    .6657652855   9.014E-04   6.485E-04    17         0
            4    .4794282317    .4794318080  -3.576E-06   3.168E-05    13         0
            5   1.5822329521   1.5822820663  -4.911E-05   3.226E-04    17         0
            6    .4000000060    .4000185728  -1.857E-05   2.903E-05    15         0
            7   2.0000000000   1.9998348951   1.651E-04   4.576E-04    26         0
            8    .8669729829    .8669791222  -6.139E-06   5.987E-05    15         0
            9   1.1547006369   1.1546144485   8.619E-05   5.292E-04    95         0
           10    .6931471825    .6931497455  -2.563E-06   2.003E-05    13         0
           11    .3798854947    .3798854351   5.960E-08   3.318E-07    13         0
           12    .7775046229    .7775045633   5.960E-08   5.811E-08    13         0
           13    .0090986453    .0091409767  -4.233E-05   4.377E-04   381         0
           14    .5000002384    .4998455942   1.546E-04   4.740E-04    52         0
           15   1.0000000000   1.0000681877  -6.819E-05   4.863E-04    52         0
           16    .4993638098    .4994501173  -8.631E-05   4.635E-04    48         0
           17    .1121395677    .1120740548   6.551E-05   6.504E-04   185         0
           18    .8386763334    .8386821747  -5.841E-06   5.778E-04    57         0
           19  -1.0000000000  -1.0000329018   3.290E-05   2.165E-04    28         0
           20   1.5643965006   1.5643962622   2.384E-07   1.148E-04    19         0
           21    .2108027339    .2097787708   1.024E-03   3.021E-04    49         0
           22    .2108027339    .2108431906  -4.046E-05   3.061E-04    99         0
1          TEST OF QUAD ON KAHANER 21

          ATTEMPED ACCURACY   1.000E-06



            N      TRUE           CALC         ERROR       EST ERR    JCALL     KWARN


            1   1.7182818651   1.7182823420  -4.768E-07   3.834E-06    15         1
            2    .6999999881    .6999986172   1.371E-06   3.398E-06    65         1
            3    .6666666865    .6666666269   5.960E-08   4.611E-07    28         0
            4    .4794282317    .4794282615  -2.980E-08   3.414E-07    19         0
            5   1.5822329521   1.5822329521    .000E+00   6.524E-07    33         0
            6    .4000000060    .4000005424  -5.364E-07   9.184E-07    29         0
            7   2.0000000000   1.9999990463   9.537E-07   3.504E-06    42         1
            8    .8669729829    .8669730425  -5.960E-08   7.845E-07    19         0
            9   1.1547006369   1.1546949148   5.722E-06   9.882E-06   155         1
           10    .6931471825    .6931473017  -1.192E-07   1.920E-07    19         0
           11    .3798854947    .3798854351   5.960E-08   3.318E-07    13         0
           12    .7775046229    .7775045633   5.960E-08   5.811E-08    13         0
           13    .0090986453    .0090984497   1.956E-07   9.980E-07  1887         0
           14    .5000002384    .5000030994  -2.861E-06   1.030E-04    64         1
           15   1.0000000000   1.0000016689  -1.669E-06   6.545E-06    74         1
           16    .4993638098    .4993709624  -7.153E-06   2.193E-05    78         1
           17    .1121395677    .1121395677    .000E+00   6.896E-07   521         0
           18    .8386763334    .8386748433   1.490E-06   2.785E-06    97         1
           19  -1.0000000000  -1.0000002384   2.384E-07   1.155E-06    38         1
           20   1.5643965006   1.5643962622   2.384E-07   9.696E-07    29         0
           21    .2108027339    .2097361684   1.067E-03   3.754E-07   127         0
           22    .2108027339    .2108028233  -8.941E-08   3.699E-07   267         0
0    TEST OF QUAD ON F(X)=(2**A)/(1.+(X*(2**A))**2)
0          LIMITS -1.00  1.00   ATTEMPTED ACCURACY    1.00E-06

              A        TRUE INT  TRUE ERR    CALC ERR    JCALL      KWARN


            .0000      1.5708    1.19E-07    9.24E-07      29       0
           1.0000      2.2143   -2.38E-07    1.22E-06      37       1
           2.0000      2.6516    3.58E-06    4.35E-06      57       1
           3.0000      2.8929    4.77E-07    6.18E-06      75       1
           4.0000      3.0168    4.77E-07    7.72E-06     103       1
           5.0000      3.0791    4.77E-07    7.44E-06     123       1
           6.0000      3.1103    4.77E-07    8.54E-06     143       1
           7.0000      3.1260    4.77E-07    9.77E-06     163       1
           8.0000      3.1338     .00E+00    1.41E-05     181       1
           9.0000      3.1377   -4.77E-07    1.89E-05     195       1
          10.0000      3.1396   -2.62E-06    2.76E-05     211       1
          11.0000      3.1406   -1.67E-06    2.33E-05     229       1
          12.0000      3.1411   -9.54E-07    2.08E-05     247       1
          13.0000      3.1413   -1.22E-05    3.33E-05     259       1
          14.0000      3.1415   -3.03E-05    5.25E-05     261       1
          15.0000      3.1415   -2.67E-05    4.93E-05     279       1
          16.0000      3.1416   -2.55E-05    4.78E-05     293       1
          17.0000      3.1416   -7.39E-06    2.84E-04     303       1
          18.0000      3.1416    2.63E-03    8.08E-03     293       1
          19.0000      3.1416   -3.75E-03    3.57E-01     279       1
          20.0000      3.1416    1.82E-01    1.42E-01     271       1
          21.0000      3.1416   -8.65E-02    5.99E-01     261       1
          22.0000      3.1416   -4.32E+00    1.35E+01     251       1
          23.0000      3.1416   -1.05E+01    2.65E+01     241       1
          24.0000      3.1416   -1.97E+01    4.54E+01     233       1
          25.0000      3.1416   -2.54E+01    5.68E+01     223       1
          26.0000      3.1416   -1.96E+01    4.55E+01     223       1
          27.0000      3.1416   -1.03E+01    2.68E+01     217       1
          28.0000      3.1416   -3.87E+00    1.40E+01     213       1
          29.0000      3.1416   -4.04E-01    7.08E+00     207       1
0    TEST OF QUAD ON F(X)=(2**A)/(1.+(X*(2**A))**2)
0          LIMITS   .00  1.00   ATTEMPTED ACCURACY    1.00E-06

              A        TRUE INT  TRUE ERR    CALC ERR    JCALL      KWARN


            .0000       .7854     .00E+00    2.54E-07      19       0
           1.0000      1.1071    1.19E-07    3.13E-07      25       0
           2.0000      1.3258    1.19E-07    3.89E-08      37       0
           3.0000      1.4464   -1.19E-07    1.57E-06      41       1
           4.0000      1.5084   -1.19E-07    1.96E-06      53       1
           5.0000      1.5396   -1.19E-07    1.79E-06      69       1
           6.0000      1.5552   -2.38E-07    1.97E-06      77       1
           7.0000      1.5630    1.07E-06    3.47E-06      80       1
           8.0000      1.5669    2.74E-06    4.36E-05      80       1
           9.0000      1.5688   -2.19E-05    6.13E-05      84       1
          10.0000      1.5698    2.63E-05    6.00E-05      82       1
          11.0000      1.5703    2.36E-05    6.75E-05      80       1
          12.0000      1.5706    4.53E-06    2.04E-04      70       1
          13.0000      1.5707   -8.59E-05    2.16E-03      74       1
          14.0000      1.5707    3.58E-03    4.01E-03      74       1
          15.0000      1.5708   -2.42E-04    5.49E-04      70       1
          16.0000      1.5708    2.15E-03    8.03E-03      72       1
          17.0000      1.5708    9.80E-03    6.34E-02      72       1
          18.0000      1.5708    1.28E-02    6.18E-02      72       1
          19.0000      1.5708    2.55E-02    8.03E-02      72       1
          20.0000      1.5708    4.58E-02    4.51E-02      68       1
          21.0000      1.5708   -2.60E-02    1.61E-01      68       1
          22.0000      1.5708   -1.10E-01    8.77E-02      64       1
          23.0000      1.5708    1.84E-02    7.77E-02      64       1
          24.0000      1.5708    8.60E-04    7.22E-01      60       1
          25.0000      1.5708    2.19E-02    1.06E-01      58       1
